# bond	bond length (A)
1	1.0849783340306194
2	1.0877654163895485
3	1.087817178151737
4	1.0898206655549243
5	1.1504678351717197
6	1.5328398411126534
7	1.0861265884388105
8	1.526106732419126
9	1.0916652143463395
10	1.3993528597960274
11	1.39589809576409
12	1.5102953966668284
13	1.5320954956935793
14	1.7625759147247868
15	1.7361332265126437
16	1.767047092899225
17	1.3825077584857437
18	1.3096785593514155
19	1.426941336240231
20	1.1513507248948383
21	1.4487682231199932
22	1.0968781852787342
23	1.3250730652017768
24	1.37966092207203
25	1.7621410988227497
26	1.4002390075892348
27	1.3889471960382187
28	1.3995415637444675
29	1.3265037207985513
30	1.4502027089908842
31	1.0738360038946
32	1.3757036660282673
33	1.0760478117970036
34	1.0875366227206185
35	1.5248167099554495
36	1.0864304795604045
37	1.5272628844934015
38	1.0870536309352936
39	1.0810253130915193
40	1.0937492344239452
41	1.0858332984482684
42	1.0972418959256545
43	1.0865023484132708
44	1.5350205479486574
45	1.0876696072598246
46	1.0911274317453563
47	1.0877294155676103
